Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704067260.0,100.00,100.00,0.00,0.00000000,BAR
1,1704067320.0,100.00,100.00,0.00,0.00000000,BAR
2,1704067380.0,100.00,100.00,0.00,0.00000000,BAR
3,1704067440.0,100.00,100.00,0.00,0.00000000,BAR
4,1704067500.0,100.00,100.00,0.00,0.00000000,BAR
5,1704067560.0,100.00,100.00,0.00,0.00000000,BAR
6,1704067620.0,100.00,100.00,0.00,0.00000000,BAR
7,1704067680.0,100.00,100.00,0.00,0.00000000,BAR
8,1704067740.0,100.00,100.00,0.00,0.00000000,BAR
9,1704067800.0,100.00,100.00,0.00,0.00000000,BAR
10,1704067860.0,100.00,100.00,0.00,0.00000000,BAR
11,1704067920.0,100.00,100.00,0.00,0.00000000,BAR
12,1704067980.0,100.00,100.00,0.00,0.00000000,BAR
13,1704068040.0,100.00,100.00,0.00,0.00000000,BAR
14,1704068100.0,100.00,100.00,0.00,0.00000000,BAR
15,1704068160.0,100.00,100.00,0.00,0.00000000,BAR
16,1704068220.0,100.00,100.00,0.00,0.00000000,BAR
17,1704068280.0,100.00,100.00,0.00,0.00000000,BAR
18,1704068340.0,100.00,100.00,0.00,0.00000000,BAR
19,1704068400.0,100.00,100.00,0.00,0.00000000,BAR
20,1704068460.0,100.00,100.00,0.00,0.00000000,BAR
21,1704068520.0,100.00,100.00,0.00,0.00000000,BAR
22,1704068580.0,100.00,100.00,0.00,0.00000000,BAR
23,1704068640.0,100.00,100.00,0.00,0.00000000,BAR
24,1704068700.0,100.00,100.00,0.00,0.00000000,BAR
25,1704068760.0,100.00,100.00,0.00,0.00000000,BAR
26,1704068820.0,100.00,100.00,0.00,0.00000000,BAR
27,1704068880.0,100.00,100.00,0.00,0.00000000,BAR
28,1704068940.0,100.00,100.00,0.00,0.00000000,BAR
29,1704069000.0,100.00,100.00,0.00,0.00000000,BAR
30,1704069060.0,100.00,100.00,0.00,0.00000000,BAR
31,1704069120.0,100.00,100.00,0.00,0.00000000,BAR
32,1704069180.0,100.00,100.00,0.00,0.00000000,BAR
33,1704069240.0,100.00,100.00,0.00,0.00000000,BAR
34,1704069300.0,100.00,100.00,0.00,0.00000000,BAR
35,1704069360.0,100.00,100.00,0.00,0.00000000,BAR
36,1704069420.0,100.00,100.00,0.00,0.00000000,BAR
37,1704069480.0,100.00,100.00,0.00,0.00000000,BAR
38,1704069540.0,100.00,100.00,0.00,0.00000000,BAR
39,1704069600.0,100.00,100.00,0.00,0.00000000,BAR
40,1704069660.0,100.00,100.00,0.00,0.00000000,BAR
41,1704069720.0,100.00,100.00,0.00,0.00000000,BAR
42,1704069780.0,100.00,100.00,0.00,0.00000000,BAR
43,1704069840.0,100.00,100.00,0.00,0.00000000,BAR
44,1704069900.0,100.00,100.00,0.00,0.00000000,BAR
45,1704069960.0,100.00,100.00,0.00,0.00000000,BAR
46,1704070020.0,100.00,100.00,0.00,0.00000000,BAR
47,1704070080.0,100.00,100.00,0.00,0.00000000,BAR
48,1704070140.0,100.00,100.00,0.00,0.00000000,BAR
49,1704070200.0,100.00,100.00,0.00,0.00000000,BAR
50,1704070260.0,100.00,100.00,0.00,0.00000000,BAR
51,1704070320.0,100.00,100.00,0.00,0.00000000,BAR
52,1704070380.0,100.00,100.00,0.00,0.00000000,BAR
53,1704070440.0,100.00,100.00,0.00,0.00000000,BAR
54,1704070500.0,100.00,100.00,0.00,0.00000000,BAR
55,1704070560.0,100.00,100.00,0.00,0.00000000,BAR
56,1704070620.0,100.00,100.00,0.00,0.00000000,BAR
57,1704070680.0,100.00,100.00,0.00,0.00000000,BAR
58,1704070740.0,100.00,100.00,0.00,0.00000000,BAR
59,1704070800.0,100.00,100.00,0.00,0.00000000,BAR
60,1704070860.0,100.00,100.00,0.00,0.00000000,BAR
61,1704070920.0,100.00,100.00,0.00,0.00000000,BAR
62,1704070980.0,100.00,100.00,0.00,0.00000000,BAR
63,1704071040.0,100.00,100.00,0.00,0.00000000,BAR
64,1704071100.0,100.00,100.00,0.00,0.00000000,BAR
65,1704071160.0,100.00,100.00,0.00,0.00000000,BAR
66,1704071220.0,100.00,100.00,0.00,0.00000000,BAR
